"","npp","rh"
"X0",0.00282896152619393,0.00168113240888042
"X1",0.00152851935795375,0.00201038987295968
"X2",-0.000214177531580771,0.00250884985154675
"X3",-0.000838336435953776,0.00240196278889974
"X4",-9.76730623552876e-05,0.0023597407187185
"X5",0.000692527961730957,0.00228727442423503
"X6",0.00169800358433877,0.00212759276359312
"X7",0.00269332221246535,0.00203417734945974
"X8",0.00375550231933594,0.00197482490539551
"X9",0.00448771618258569,0.00211931880827873
"X10",0.00474566802978516,0.00198612353006999
"X11",0.00403005538448211,0.00181932461646295
"X12",0.00288456012356666,0.00178072750952936
"X13",0.00196241119929722,0.00208894988468715
"X14",-0.000383864279716246,0.00240852528233682
"X15",-0.00106533533732096,0.0024993886311849
"X16",-6.23564912426856e-05,0.00237129728255733
"X17",0.000664473025004069,0.00228742116292318
"X18",0.00166963847990959,0.00213174069312311
"X19",0.00294034650248866,0.00202906860843782
"X20",0.00389611740112305,0.00213763046264648
"X21",0.00447779550860005,0.00214595302458732
"X22",0.00464694010416667,0.00191795959472656
"X23",0.00415207352176789,0.00175742856917843
"X24",0.00303058378158077,0.00170471954345703
"X25",0.00197100394112723,0.00193337712969099
"X26",-0.000372563885104272,0.00240627116541709
"X27",-0.00103031533559163,0.00251902974446615
"X28",-0.000380962402589859,0.00236720202046056
"X29",0.000572326151529948,0.00230043818155924
"X30",0.00166195112659085,0.00215155619959677
"X31",0.00295609209614415,0.00203717213292276
"X32",0.00395711110432943,0.00212140655517578
"X33",0.00437479720577117,0.00214878894436744
"X34",0.00466896820068359,0.00195837872823079
"X35",0.00391513061523437,0.00180160743959488
"X36",0.00304572443808279,0.00170365241266066
"X37",0.00165690612792969,0.0019910272870745
"X38",-0.000531827865108367,0.00231815928797568
"X39",-0.00110562324523926,0.00249713363647461
"X40",-0.000187087828113187,0.00247002263222971
"X41",0.000730376879374186,0.00224711507161458
"X42",0.00174652345718876,0.00212468940980973
"X43",0.00301386556317729,0.00200787304293725
"X44",0.00383900782267253,0.00205170440673828
"X45",0.00460250411495086,0.00211058512041646
"X46",0.00476122233072917,0.00192660992940267
"X47",0.00408460432483304,0.0016337154757592
"X48",0.00312561871928553,0.00165836383450416
"X49",0.00188164356776646,0.00195040839059012
"X50",-0.000176358807471491,0.00245123315626575
"X51",-0.000744930203755697,0.00244659118652344
"X52",-8.14437943120157e-05,0.00244573728499874
"X53",0.000729669443766276,0.00229019622802734
"X54",0.00172090874948809,0.00214855415590348
"X55",0.00283773089993385,0.00205824402839907
"X56",0.00386277262369792,0.00211633033752441
"X57",0.00439845177435106,0.00216310316516507
"X58",0.00473692067464193,0.00194297523498535
"X59",0.00417087776430192,0.00176639729161416
"X60",0.00309256153721963,0.00171860147291614
"X61",0.00168197904314314,0.00212161990574428
"X62",-0.000277329352594191,0.00240663466915008
"X63",-0.00110300750732422,0.0024830800374349
"X64",-0.000148599255469538,0.00236684786888861
"X65",0.000653317642211914,0.00227436828613281
"X66",0.00161259485060169,0.00217108523461126
"X67",0.00278679533927671,0.00207241082960559
"X68",0.00372472559611003,0.00212096672058105
"X69",0.00439519623787172,0.00222051534345073
"X70",0.0045707041422526,0.00198170051574707
"X71",0.00355606891262916,0.00186893290858115
"X72",0.00258822090395035,0.00182678677958827
"X73",0.00167139325823103,0.0021383889062064
"X74",-0.000424469640178065,0.00238473904517389
"X75",-0.0012633004506429,0.00249959513346354
"X76",-0.000368134929287818,0.00241793872464088
"X77",0.000648414866129557,0.00227373428344727
"X78",0.00158300461307649,0.00213984163345829
"X79",0.00282271994313886,0.00204142244400517
"X80",0.00373681182861328,0.00211518669128418
"X81",0.00448058885143649,0.00212789843159337
"X82",0.00477019805908203,0.00187863642374674
"X83",0.00418003106886341,0.00176091028028919
"X84",0.00304845551521547,0.00169630567489132
"X85",0.00173191601889474,0.00203074468885149
"X86",-0.000132728592042,0.0023080564929593
"X87",-0.000869412612915039,0.00243867797851563
"X88",5.25875053098125e-05,0.00232567276493196
"X89",0.000703372891743978,0.00226459808349609
"X90",0.00173202083956811,0.00214659118652344
"X91",0.00302585084976688,0.0020191172938193
"X92",0.00384379018147786,0.00209588483174642
"X93",0.00458297335716986,0.00218833283455141
"X94",0.00469392801920573,0.0019621026357015
"X95",0.00397628833401588,0.00168920147803522
"X96",0.00296668834071006,0.00174225591844128
"X97",0.00174157564980643,0.00200296361105783
"X98",-0.000447122358506726,0.00234497242589151
"X99",-0.00104734528859456,0.00245572102864583
"X100",-9.78171344726316e-06,0.00243731517176474
"X101",0.00076477591196696,0.00226574198404948
"X102",0.00176221146122102,0.00214388964253087
"X103",0.00304554551647555,0.00203214559247417
"X104",0.00390501988728841,0.00206881103515625
"X105",0.00440266763010333,0.00215531183058216
"X106",0.00463123830159505,0.00188076337178548
"X107",0.0037927489742156,0.00171288619502898
"X108",0.00282935554750504,0.00172246526902722
"X109",0.00190259851728167,0.00204700933183943
"X110",-0.00031753001674529,0.0023051260671308
"X111",-0.00088816967010498,0.00248520329793294
"X112",-2.60627923473235e-05,0.0024010009765625
"X113",0.000695193290710449,0.00229053115844727
"X114",0.00175628379083449,0.00213817719490297
"X115",0.00296643730901903,0.00203994775587513
"X116",0.0038424674987793,0.00221465962727865
"X117",0.00442318971695438,0.00226304011191091
"X118",0.00477451578776042,0.00199093729654948
"X119",0.00408523658014113,0.00174165664180633
"X120",0.00290544103807019,0.00176436578073809
"X121",0.00201542486463274,0.00203957939147949
"X122",-0.000263258287983556,0.00242469221545804
"X123",-0.00090690180460612,0.00247194798787435
"X124",-0.000116952688463273,0.00239734895767704
"X125",0.000678511238098145,0.00229926071166992
"X126",0.00158142471313477,0.00215936746904927
"X127",0.00284778841080204,0.00205418519050844
"X128",0.0039266606648763,0.00215598602294922
"X129",0.00446399811775454,0.00215538049513294
"X130",0.00464338124593099,0.00192377319335938
"X131",0.00425326341198337,0.00170900984733335
"X132",0.0033955567882907,0.00170817098309917
"X133",0.00200810677664621,0.00204773208073207
"X134",-0.000340414108768586,0.00234670995896862
"X135",-0.000992551485697428,0.00243989588419596
"X136",-0.000140694126006096,0.00238118547008884
"X137",0.000610444513956706,0.00229579569498698
"X138",0.00162685431203535,0.00217195547780683
"X139",0.00279563731531943,0.00208038699242377
"X140",0.00370740076700846,0.00198495025634766
"X141",0.00442721360729587,0.00219699293567288
"X142",0.0041477300008138,0.0019358455657959
"X143",0.00304768716135333,0.00175929506363407
"X144",0.00228175181727256,0.00170202575191375
"X145",0.00109703758784703,0.00197761862618583
"X146",-0.000454595012049521,0.00232864182995212
"X147",-0.000985306104024251,0.00241114171346029
"X148",-0.000247432693358391,0.00239509853239982
"X149",0.000615930557250977,0.00229107513427734
"X150",0.00179034768381426,0.00210336672875189
"X151",0.00305579130111202,0.0019844364043205
"X152",0.00401682739257813,0.00200713043212891
"X153",0.00461550411101311,0.00206913142050466
"X154",0.00483726806640625,0.00182920010884603
"X155",0.00438590166645665,0.00181514518491683
"X156",0.00326029279155116,0.00171630687098349
"X157",0.00230984170096261,0.00210551684243338
"X158",-0.000350076460069226,0.00228751594789567
"X159",-0.0010720895131429,0.0024230099995931
"X160",2.35389471054077e-05,0.00242486399988974
"X161",0.000716582806905111,0.00230460484822591
"X162",0.00185092901414441,0.00213008486840033
"X163",0.00305016573013798,0.00203220404348066
"X164",0.00387466684977214,0.00221174926757812
"X165",0.00454130652643019,0.00214623137443296
"X166",0.00480731048583984,0.00197877082824707
"X167",0.00427678754252772,0.00179614565449376
"X168",0.00377468773626512,0.00175313851141161
"X169",0.00199884183066232,0.00206820052010672
"X170",-0.000157664852757608,0.00258466166834677
"X171",-0.000896185811360677,0.00246577072143555
"X172",-0.000183297388015255,0.00249413250338647
"X173",0.000672391001383464,0.00226147104899089
"X174",0.00173905108051915,0.00212134675056704
"X175",0.00303187585646106,0.00205782773417811
"X176",0.00388789316813151,0.00218770548502604
"X177",0.00454540277296497,0.00214105692217427
